date,nav,scheme_name,scheme_code
15-10-2017,3516.18860,HDFC Money Market Fund - Growth Option - Direct Plan,119092
13-10-2017,3514.96650,HDFC Money Market Fund - Growth Option - Direct Plan,119092
12-10-2017,3514.34370,HDFC Money Market Fund - Growth Option - Direct Plan,119092
11-10-2017,3513.73490,HDFC Money Market Fund - Growth Option - Direct Plan,119092
10-10-2017,3513.11500,HDFC Money Market Fund - Growth Option - Direct Plan,119092
09-10-2017,3512.53210,HDFC Money Market Fund - Growth Option - Direct Plan,119092
08-10-2017,3511.92820,HDFC Money Market Fund - Growth Option - Direct Plan,119092
06-10-2017,3510.73080,HDFC Money Market Fund - Growth Option - Direct Plan,119092
05-10-2017,3510.13880,HDFC Money Market Fund - Growth Option - Direct Plan,119092
04-10-2017,3509.53540,HDFC Money Market Fund - Growth Option - Direct Plan,119092
03-10-2017,3508.95600,HDFC Money Market Fund - Growth Option - Direct Plan,119092
02-10-2017,3508.30810,HDFC Money Market Fund - Growth Option - Direct Plan,119092
29-09-2017,3506.51890,HDFC Money Market Fund - Growth Option - Direct Plan,119092
28-09-2017,3505.87930,HDFC Money Market Fund - Growth Option - Direct Plan,119092
27-09-2017,3505.28120,HDFC Money Market Fund - Growth Option - Direct Plan,119092
26-09-2017,3504.69010,HDFC Money Market Fund - Growth Option - Direct Plan,119092
25-09-2017,3504.02300,HDFC Money Market Fund - Growth Option - Direct Plan,119092
24-09-2017,3503.38690,HDFC Money Market Fund - Growth Option - Direct Plan,119092
22-09-2017,3502.19140,HDFC Money Market Fund - Growth Option - Direct Plan,119092
21-09-2017,3501.62270,HDFC Money Market Fund - Growth Option - Direct Plan,119092
20-09-2017,3501.02420,HDFC Money Market Fund - Growth Option - Direct Plan,119092
19-09-2017,3500.40630,HDFC Money Market Fund - Growth Option - Direct Plan,119092
18-09-2017,3499.81050,HDFC Money Market Fund - Growth Option - Direct Plan,119092
17-09-2017,3499.20950,HDFC Money Market Fund - Growth Option - Direct Plan,119092
15-09-2017,3497.99250,HDFC Money Market Fund - Growth Option - Direct Plan,119092
14-09-2017,3497.36720,HDFC Money Market Fund - Growth Option - Direct Plan,119092
13-09-2017,3496.77680,HDFC Money Market Fund - Growth Option - Direct Plan,119092
12-09-2017,3496.18830,HDFC Money Market Fund - Growth Option - Direct Plan,119092
11-09-2017,3495.57390,HDFC Money Market Fund - Growth Option - Direct Plan,119092
10-09-2017,3494.97590,HDFC Money Market Fund - Growth Option - Direct Plan,119092
08-09-2017,3493.80690,HDFC Money Market Fund - Growth Option - Direct Plan,119092
07-09-2017,3493.22700,HDFC Money Market Fund - Growth Option - Direct Plan,119092
